Emoji,Unicode codepoint,Occurrences
😂,1F602,754843296
♥,2665,524698612
❤,2764,341911962
😍,1F60D,319310348
😒,1F612,282824635
😊,1F60A,239396341
😭,1F62D,235371370
☺,263A,218194544
😘,1F618,218118200
👌,1F44C,216474343
💕,1F495,207761611
😩,1F629,200190869
😔,1F614,176890966
😏,1F60F,161571042
😁,1F601,156701240
🙏,1F64F,108313552
👍,1F44D,103659680
😳,1F633,101446264
🙌,1F64C,101401014
😉,1F609,93130132
✌,270C,92918671
😌,1F60C,89167611
🙈,1F648,87361590
💁,1F481,80658432
😎,1F60E,77342110
🎶,1F3B6,75686787
👀,1F440,73298395
😄,1F604,69979164
😴,1F634,69145415
😢,1F622,66115753
😑,1F611,65146774
💖,1F496,63618206
💯,1F4AF,62290703
😜,1F61C,62114227
😞,1F61E,61070323
💜,1F49C,60469119
✨,2728,60185885
😋,1F60B,59267903
👏,1F44F,58380838
😕,1F615,58018713
😅,1F605,56761959
💙,1F499,56461105
🙊,1F64A,55041267
✋,270B,54103833
😐,1F610,53358696
💔,1F494,53230593
😪,1F62A,49970036
💗,1F497,48133212
💞,1F49E,47878441
💘,1F498,47752224
💋,1F48B,45098484
😱,1F631,44273326
😡,1F621,42365269
😫,1F62B,40627490
👊,1F44A,40302227
☀,2600,40252825
😃,1F603,38848201
🌸,1F338,38808623
😈,1F608,38262758
😝,1F61D,35285546
🌹,1F339,34347008
😤,1F624,34171254
👋,1F44B,33676745
✔,2714,32993404
💪,1F4AA,32944700
🎉,1F389,32191417
💛,1F49B,31129058
😷,1F637,30366008
👉,1F449,29947346
😣,1F623,29098660
💚,1F49A,28702288
😓,1F613,27457364
😻,1F63B,27219133
😆,1F606,26697893
💀,1F480,25767749
🔥,1F525,25630578
🌚,1F31A,25219451
😚,1F61A,24234959
😖,1F616,24103082
🔫,1F52B,23078175
😥,1F625,22955877
🙋,1F64B,22833309
😠,1F620,22421053
😬,1F62C,21531678
👈,1F448,21480709
✊,270A,21475921
🎧,1F3A7,21452127
🙅,1F645,21389151
💓,1F493,21299988
👑,1F451,21151848
😀,1F600,20779182
👎,1F44E,20520127
😛,1F61B,20268580
💃,1F483,19881745
🌟,1F31F,18833513
▶,25B6,18473269
😶,1F636,18318306
☑,2611,15942012
💩,1F4A9,15713610
💫,1F4AB,15694642
©,00A9,15625636
🐧,1F427,15243154
🚶,1F6B6,15228091
🎵,1F3B5,15184245
💎,1F48E,14671903
🙆,1F646,14556644
😰,1F630,14442860
😇,1F607,14336791
💥,1F4A5,14243458
🍕,1F355,13936290
👐,1F450,12771908
💭,1F4AD,12739529
🌞,1F31E,12718738
💤,1F4A4,12511349
✈,2708,12497804
🙇,1F647,12132198
➡,27A1,12006565
🎀,1F380,11675034
👽,1F47D,11656421
👼,1F47C,11555320
🍀,1F340,11470192
😹,1F639,11452894
👇,1F447,11434167
💅,1F485,11319898
❌,274C,10994076
☁,2601,10910631
👅,1F445,10866564
👯,1F46F,10813999
◀,25C0,10805372
♣,2663,10574987
😟,1F61F,10519203
🌍,1F30D,10479114
😨,1F628,10456887
🍃,1F343,10397878
🌺,1F33A,10348507
✅,2705,10307703
💦,1F4A6,10210789
❄,2744,10142321
⭐,2B50,9975235
☝,261D,9918192
✖,2716,9860679
🎈,1F388,9808227
🔴,1F534,9769858
❗,2757,9638316
🎁,1F381,8893712
⬅,2B05,8890498
🌎,1F30E,8845159
🏃,1F3C3,8743346
🎤,1F3A4,8722531
🌙,1F319,8122474
💝,1F49D,8098170
⚽,26BD,7972397
👫,1F46B,7839732
🌻,1F33B,7765068
🌿,1F33F,7732282
👆,1F446,7722165
‼,203C,7653957
♨,2668,7634246
🍻,1F37B,7546644
👻,1F47B,7543983
🙉,1F649,7539690
🐶,1F436,7536283
🙍,1F64D,7531187
🌴,1F334,7516661
💏,1F48F,7438784
😙,1F619,7416131
😵,1F635,7399442
💰,1F4B0,7309270
🎄,1F384,7240167
🏀,1F3C0,7147294
💟,1F49F,6905287
🌈,1F308,6887913
💐,1F490,6864552
💆,1F486,6814269
👭,1F46D,6761020
🎥,1F3A5,6681927
🌵,1F335,6630654
👸,1F478,6591434
😯,1F62F,6494825
😧,1F627,6474573
😲,1F632,6406047
🌝,1F31D,6402123
😮,1F62E,6360003
🌀,1F300,6358332
💨,1F4A8,6357622
💍,1F48D,6317755
🌷,1F337,6317749
🎂,1F382,6268262
😿,1F63F,6212963
🐱,1F431,6200370
☎,260E,6167437
☕,2615,6073663
💸,1F4B8,5741314
🎊,1F38A,5711124
🔪,1F52A,5670100
🎅,1F385,5636088
🌏,1F30F,5502470
🎸,1F3B8,5437834
⛄,26C4,5352949
💬,1F4AC,5215672
📕,1F4D5,5073197
♠,2660,5002160
⚡,26A1,4965222
💣,1F4A3,4928966
🇺🇸,1F1FA-1F1F8,4921430
☔,2614,4909259
👿,1F47F,4830840
⭕,2B55,4812708
🏈,1F3C8,4753281
💌,1F48C,4746328
♦,2666,4638684
😦,1F626,4634236
🍆,1F346,4580931
💑,1F491,4576859
📷,1F4F7,4473665
😽,1F63D,4459969
😼,1F63C,4393587
😸,1F638,4376650
👾,1F47E,4376133
🌼,1F33C,4355604
👶,1F476,4295312
🚀,1F680,4294536
🐷,1F437,4157648
🍌,1F34C,4154205
1⃣,0031-20E3,4153635
🍁,1F341,4124914
⛅,26C5,4064623
🐼,1F43C,4017723
▪,25AA,4013361
🌊,1F30A,3980922
🙀,1F640,3955352
👄,1F444,3838749
🍴,1F374,3815769
👣,1F463,3798640
💿,1F4BF,3777866
🚬,1F6AC,3638056
2⃣,0032-20E3,3635007
🐯,1F42F,3596207
🆗,1F197,3579625
📱,1F4F1,3564656
🐢,1F422,3560701
🎼,1F3BC,3557453
🔮,1F52E,3554044
🍩,1F369,3551732
🎮,1F3AE,3542605
💢,1F4A2,3516305
🍟,1F35F,3469506
🍺,1F37A,3426114
🏆,1F3C6,3410625
🍂,1F342,3259487
💂,1F482,3246707
🍹,1F379,3219571
🍔,1F354,3176206
🚗,1F697,3157747
😗,1F617,3115583
📲,1F4F2,3082630
🍭,1F36D,3067816
🔞,1F51E,3046469
🚨,1F6A8,2989392
🔝,1F51D,2979262
🍷,1F377,2952688
🍉,1F349,2938112
⚠,26A0,2904765
🐰,1F430,2889692
🐻,1F43B,2857406
🌌,1F30C,2827259
👨,1F468,2826663
🍫,1F36B,2825408
🍦,1F366,2825240
🐸,1F438,2796766
🍰,1F370,2785180
™,2122,2751540
💉,1F489,2745505
😺,1F63A,2722949
🍪,1F36A,2722464
🐬,1F42C,2721304
🐳,1F433,2679581
♻,267B,2675624
3⃣,0033-20E3,2655802
🐝,1F41D,2652464
🐣,1F423,2649992
🚫,1F6AB,2603197
👹,1F479,2600540
🎬,1F3AC,2572402
🐒,1F412,2552156
🎃,1F383,2544970
🆒,1F192,2517445
🐾,1F43E,2509690
🙎,1F64E,2474569
🍸,1F378,2473625
🛅,1F6C5,2469658
💇,1F487,2469338
📺,1F4FA,2451163
😾,1F63E,2419844
🐍,1F40D,2410068
🍑,1F351,2404898
🍓,1F353,2400545
®,00AE,2397376
💵,1F4B5,2384774
🏊,1F3CA,2361710
🐘,1F418,2326276
🌾,1F33E,2308709
📚,1F4DA,2274357
👪,1F46A,2271788
👩,1F469,2255848
🔊,1F50A,2244562
⚾,26BE,2240403
🆘,1F198,2185300
🍒,1F352,2154190
✂,2702,2145929
⬇,2B07,2145221
🐥,1F425,2143236
🎐,1F390,2131068
🌑,1F311,2127448
👧,1F467,2121784
🎓,1F393,2109702
💻,1F4BB,2092761
❓,2753,2087372
📝,1F4DD,2069136
🌕,1F315,2064681
🇫🇷,1F1EB-1F1F7,2056354
⚓,2693,2052642
📢,1F4E2,2044684
👵,1F475,2021620
🍍,1F34D,2015557
↗,2197,2014184
✏,270F,2013824
🐙,1F419,1996849
4⃣,0034-20E3,1991948
💄,1F484,1989556
🚘,1F698,1975228
🎆,1F386,1959222
👦,1F466,1946156
5⃣,0035-20E3,1945523
👠,1F460,1943540
🔙,1F519,1931702
🌠,1F320,1930892
✉,2709,1923809
👳,1F473,1914311
🏡,1F3E1,1905357
↘,2198,1902380
🇮🇹,1F1EE-1F1F9,1890699
📞,1F4DE,1883854
🍗,1F357,1874794
↙,2199,1852567
📖,1F4D6,1848651
👙,1F459,1806240
🔐,1F510,1778230
👟,1F45F,1776712
🔵,1F535,1754086
🌛,1F31B,1725861
👬,1F46C,1713687
👓,1F453,1710194
👃,1F443,1706477
↖,2196,1702711
🌅,1F305,1682869
🍎,1F34E,1658434
⚪,26AA,1648586
💊,1F48A,1636331
🍥,1F365,1635613
🚿,1F6BF,1622934
👂,1F442,1612057
🈹,1F239,1603525
💧,1F4A7,1583838
🍱,1F371,1576832
🐨,1F428,1563700
🍝,1F35D,1563106
💡,1F4A1,1559686
🔋,1F50B,1558834
👰,1F470,1544156
🍇,1F347,1535343
🍬,1F36C,1524365
⚫,26AB,1514773
👴,1F474,1507307
🐠,1F420,1499941
🐵,1F435,1497974
🇬🇧,1F1EC-1F1E7,1494884
🔗,1F517,1479691
🐟,1F41F,1475570
🔹,1F539,1473355
🌓,1F313,1463374
🌒,1F312,1457898
🚮,1F6AE,1454768
↔,2194,1439487
🌃,1F303,1438581
🌔,1F314,1429120
🌜,1F31C,1413379
🐽,1F43D,1402405
🍜,1F35C,1389165
🐴,1F434,1382542
🎨,1F3A8,1379508
↕,2195,1379373
🌗,1F317,1355765
🌱,1F331,1355229
🌘,1F318,1354515
🏠,1F3E0,1354417
🌖,1F316,1340962
🆕,1F195,1336692
🐋,1F40B,1315273
🐔,1F414,1305144
🍄,1F344,1286825
🗿,1F5FF,1286414
👗,1F457,1281847
✳,2733,1280968
🍊,1F34A,1238256
🏄,1F3C4,1223887
🅰,1F170,1223694
🏪,1F3EA,1219257
🍧,1F367,1217398
🌳,1F333,1202109
⌚,231A,1195014
👲,1F472,1179657
🌲,1F332,1178372
🚙,1F699,1167959
⛽,26FD,1167208
🐮,1F42E,1156862
🐭,1F42D,1150092
🍳,1F373,1148362
0⃣,0030-20E3,1145196
🎣,1F3A3,1142173
🎭,1F3AD,1140646
🆓,1F193,1132489
🎩,1F3A9,1131152
🔘,1F518,1122233
🐦,1F426,1111316
🐺,1F43A,1067992
👮,1F46E,1063246
🍼,1F37C,1053627
❕,2755,1050046
🚲,1F6B2,1048321
⏰,23F0,1039060
🎇,1F387,1035938
🍞,1F35E,1032367
⏩,23E9,1029802
🐑,1F411,1028035
👺,1F47A,1024120
👱,1F471,1022940
🔑,1F511,1017589
🍤,1F364,1013296
⛳,26F3,1012060
⬆,2B06,1001054
🛀,1F6C0,991259
🔆,1F506,985783
🆙,1F199,984770
🍋,1F34B,981077
🍵,1F375,977505
🎾,1F3BE,970095
🔃,1F503,959541
🐤,1F424,959469
🏁,1F3C1,950219
〰,3030,942859
🐎,1F40E,930678
6⃣,0036-20E3,911370
↪,21AA,894987
⁉,2049,888531
🔨,1F528,887572
💒,1F492,885645
🔌,1F50C,880527
🔒,1F512,877644
🇩🇪,1F1E9-1F1EA,874380
🇪🇸,1F1EA-1F1F8,862230
Ⓜ,24C2,856469
🐛,1F41B,846198
🔜,1F51C,845008
7⃣,0037-20E3,844936
🍣,1F363,842073
🎯,1F3AF,840101
🐹,1F439,828787
🍚,1F35A,828000
🌄,1F304,825184
🚩,1F6A9,820188
👖,1F456,811506
➰,27B0,804872
🍲,1F372,800009
🏂,1F3C2,795499
🍏,1F34F,793897
👥,1F465,789744
🐞,1F41E,787412
✴,2734,787170
📣,1F4E3,786964
🔱,1F531,783113
🍖,1F356,770921
👤,1F464,760381
💠,1F4A0,758193
🐚,1F41A,746837
♋,264B,741232
🔺,1F53A,740762
⤵,2935,732586
↩,21A9,727692
🐊,1F40A,721299
👔,1F454,720748
🌽,1F33D,717276
✒,2712,715260
🅾,1F17E,714404
🐓,1F413,710722
🍨,1F368,704005
🔸,1F538,702196
🅱,1F171,700283
🐌,1F40C,700209
🐩,1F429,699240
🗽,1F5FD,698011
🌇,1F307,692046
🏥,1F3E5,690151
❇,2747,689856
🔄,1F504,687604
💲,1F4B2,687373
💮,1F4AE,679464
🎎,1F38E,679407
🍯,1F36F,679005
🐜,1F41C,677956
🚔,1F694,676012
🔓,1F513,672181
🚣,1F6A3,665948
➕,2795,650204
🍛,1F35B,645165
🚪,1F6AA,643503
🎱,1F3B1,636522
🐐,1F410,635402
♈,2648,634982
🍅,1F345,634183
🔁,1F501,632023
🍮,1F36E,629191
👷,1F477,628353
🏫,1F3EB,625991
🐈,1F408,618615
🎹,1F3B9,612653
⛔,26D4,611948
🔷,1F537,611798
🚺,1F6BA,608639
♒,2652,604419
👕,1F455,602781
🎲,1F3B2,601329
👜,1F45C,599832
🕦,1F566,598199
🏢,1F3E2,592592
📍,1F4CD,592275
🐪,1F42A,591089
♏,264F,590493
📹,1F4F9,587758
🚌,1F68C,585308
🔲,1F532,585109
🚽,1F6BD,583467
🚼,1F6BC,583009
🐉,1F409,581624
⛵,26F5,580902
🔶,1F536,580569
🏩,1F3E9,573856
📀,1F4C0,572051
🚂,1F682,571822
🌆,1F306,565558
㊙,3299,565212
🐇,1F407,564464
🌋,1F30B,562467
㊗,3297,552354
🔻,1F53B,551453
🐕,1F415,550453
🐫,1F42B,547799
👞,1F45E,539891
♌,264C,538172
🎳,1F3B3,534209
🌰,1F330,531910
🎢,1F3A2,530699
👒,1F452,528893
💳,1F4B3,526081
🗻,1F5FB,524612
➖,2796,523828
🆔,1F194,523285
♐,2650,510718
♊,264A,508289
〽,303D,504914
💈,1F488,503601
🐲,1F432,501491
🐄,1F404,499915
🌂,1F302,494197
♓,2653,493689
♉,2649,489411
🚴,1F6B4,489193
8⃣,0038-20E3,488756
🇯🇵,1F1EF-1F1F5,487249
♑,2651,484857
9⃣,0039-20E3,481581
👛,1F45B,481471
⏳,23F3,478018
🍡,1F361,474535
🚓,1F693,473031
♍,264D,472453
🚖,1F696,472257
🍐,1F350,470510
🐏,1F40F,468847
⛪,26EA,465825
♎,264E,460278
🌉,1F309,459513
🔔,1F514,458283
📌,1F4CC,457552
💺,1F4BA,456800
📛,1F4DB,456469
🐅,1F405,455490
🌐,1F310,453169
❎,274E,451249
📴,1F4F4,449968
◾,25FE,449550
❔,2754,445265
🚢,1F6A2,438753
📻,1F4FB,435589
🐗,1F417,433926
🐀,1F400,427336
💷,1F4B7,423765
🃏,1F0CF,421943
📦,1F4E6,421712
🐖,1F416,420619
ℹ,2139,419099
🏉,1F3C9,414314
🏤,1F3E4,412506
🇷🇺,1F1F7-1F1FA,411646
🎒,1F392,409619
🗼,1F5FC,407795
🌁,1F301,404652
⏪,23EA,403079
🎍,1F38D,402021
🚦,1F6A6,400910
🚑,1F691,400666
🏇,1F3C7,399997
👡,1F461,399643
👢,1F462,396254
#⃣,0023-20E3,389041
🎻,1F3BB,385093
🎡,1F3A1,381050
📓,1F4D3,380786
🎷,1F3B7,380011
🎋,1F38B,377583
📩,1F4E9,368737
⌛,231B,365065
🔟,1F51F,361872
🔛,1F51B,358641
🎿,1F3BF,356645
💽,1F4BD,354117
🚍,1F68D,344885
🎏,1F38F,340691
🔰,1F530,340347
🚹,1F6B9,339951
🏬,1F3EC,339584
🍢,1F362,338050
📒,1F4D2,337653
🐂,1F402,336831
⛺,26FA,336300
🍙,1F359,335288
🚕,1F695,332720
🎺,1F3BA,329351
◼,25FC,327264
🐡,1F421,325238
▫,25AB,318582
🔯,1F52F,317688
🍈,1F348,314795
🏰,1F3F0,314499
🚁,1F681,313277
🎌,1F38C,311216
🐆,1F406,309839
💼,1F4BC,308351
🎠,1F3A0,301765
📅,1F4C5,301430
🔚,1F51A,299555
💴,1F4B4,299016
🔅,1F505,298214
👚,1F45A,297971
📶,1F4F6,297016
💶,1F4B6,294903
🆚,1F19A,294141
🔦,1F526,287654
🔳,1F533,285460
🕛,1F55B,283736
🚤,1F6A4,283390
⤴,2934,282089
🚒,1F692,275688
📘,1F4D8,274451
🍠,1F360,269631
🎪,1F3AA,268545
🎽,1F3BD,267913
⬜,2B1C,267896
🚾,1F6BE,254593
◻,25FB,252821
📰,1F4F0,251669
🉐,1F250,248005
🕐,1F550,247658
🚧,1F6A7,246880
🐃,1F403,241178
🔭,1F52D,238148
🕑,1F551,237771
🆖,1F196,237650
📆,1F4C6,237248
🔍,1F50D,236347
🏧,1F3E7,236291
🕒,1F552,235745
🚚,1F69A,231695
🔩,1F529,230785
🔎,1F50E,228833
🈯,1F22F,226233
📗,1F4D7,224231
🎑,1F391,218285
📡,1F4E1,218043
🔇,1F507,217147
🐁,1F401,216999
🚭,1F6AD,213177
🎦,1F3A6,212567
🚃,1F683,211934
👘,1F458,210774
🈳,1F233,203519
🍶,1F376,202298
📼,1F4FC,200846
🇰🇷,1F1F0-1F1F7,197663
🏨,1F3E8,197316
🏮,1F3EE,197220
📈,1F4C8,196350
🚜,1F69C,195528
♿,267F,195378
🔽,1F53D,194992
🏦,1F3E6,194891
⛲,26F2,191962
🎰,1F3B0,190524
🚇,1F687,188420
⏬,23EC,187996
📮,1F4EE,187524
🚉,1F689,186733
📜,1F4DC,185150
🚄,1F684,182516
🔼,1F53C,180663
📬,1F4EC,179496
📳,1F4F3,176125
🔧,1F527,174110
⬛,2B1B,170898
🕓,1F553,170395
📋,1F4CB,169530
🚊,1F68A,168433
📎,1F4CE,166133
🍘,1F358,162529
🛁,1F6C1,159413
🆎,1F18E,158621
🈺,1F23A,157242
📧,1F4E7,156978
📉,1F4C9,156518
👝,1F45D,156025
📵,1F4F5,155706
🚛,1F69B,154286
🈶,1F236,153930
🚷,1F6B7,153861
🈸,1F238,153495
🈷,1F237,152753
🈚,1F21A,150467
📄,1F4C4,149493
🚥,1F6A5,148281
🕔,1F554,148202
🔕,1F515,146193
🅿,1F17F,145737
🎴,1F3B4,142529
🔂,1F502,142314
🎫,1F3AB,142081
🕘,1F558,139629
🆑,1F191,138896
◽,25FD,137872
🇨🇳,1F1E8-1F1F3,137697
🏯,1F3EF,135915
🚐,1F690,135602
🈲,1F232,135169
🚅,1F685,134787
🕙,1F559,134287
🈵,1F235,134078
🕗,1F557,127322
🔬,1F52C,126230
📑,1F4D1,123754
🀄,1F004,123690
🔢,1F522,123101
📃,1F4C3,122569
🏣,1F3E3,122396
📥,1F4E5,120556
🈴,1F234,117884
🗾,1F5FE,117745
🚵,1F6B5,116686
🏭,1F3ED,115173
🕚,1F55A,115097
🔖,1F516,114640
💱,1F4B1,114488
📙,1F4D9,114416
➿,27BF,114405
📊,1F4CA,113356
📔,1F4D4,110826
🚻,1F6BB,109086
📠,1F4E0,108525
💾,1F4BE,107202
🕖,1F556,105992
🚸,1F6B8,104066
📐,1F4D0,102431
🉑,1F251,102321
📟,1F4DF,101094
💹,1F4B9,100282
🕕,1F555,99676
🚎,1F68E,99407
🚆,1F686,97953
📏,1F4CF,96996
🔉,1F509,94890
📨,1F4E8,92542
📯,1F4EF,91472
🕜,1F55C,89994
🚰,1F6B0,88660
📫,1F4EB,85032
🔏,1F50F,84555
🔈,1F508,83498
🈂,1F202,81631
🚏,1F68F,79648
📇,1F4C7,75443
🕤,1F564,74081
🚋,1F68B,73346
🕝,1F55D,70662
🔤,1F524,70505
🚈,1F688,69839
🔀,1F500,65986
🕧,1F567,65618
🕥,1F565,65028
🚝,1F69D,63757
📂,1F4C2,62860
📁,1F4C1,61951
🔠,1F520,58926
📪,1F4EA,57895
📤,1F4E4,57313
🕟,1F55F,56305
⏫,23EB,54001
🔣,1F523,53896
⛎,26CE,53829
🕞,1F55E,51584
🕢,1F562,49640
🚞,1F69E,48653
🕠,1F560,47973
🔡,1F521,45713
📭,1F4ED,40206
🕣,1F563,39078
➗,2797,39065
🚡,1F6A1,38882
🚯,1F6AF,37379
🕡,1F561,37170
🈁,1F201,36127
🚠,1F6A0,29807
🚱,1F6B1,25943
🚟,1F69F,24751
🚳,1F6B3,23934
🛂,1F6C2,21400
🛄,1F6C4,18949
🛃,1F6C3,18834
